            5 0.810392E-04 0.114602E-03 0.168518E-03 0.524962E-03 0.481172E-02 0.658304E-02 0.573041E-02 0.102150E-01
           10 0.691018E-04 0.964091E-04 0.136886E-03 0.528779E-03 0.349892E-02 0.470869E-02 0.428371E-02 0.113542E-01
           15 0.771767E-04 0.106727E-03 0.135479E-03 0.504077E-03 0.564871E-02 0.760220E-02 0.506560E-02 0.840960E-02
           20 0.841013E-04 0.114749E-03 0.133105E-03 0.477544E-03 0.695449E-02 0.937639E-02 0.784112E-02 0.601442E-02
           25 0.904961E-04 0.122047E-03 0.132883E-03 0.463718E-03 0.627623E-02 0.840091E-02 0.794530E-02 0.609360E-02
           30 0.982318E-04 0.131786E-03 0.140490E-03 0.452912E-03 0.529035E-02 0.709324E-02 0.660770E-02 0.769739E-02
           35 0.106401E-03 0.143216E-03 0.153279E-03 0.432511E-03 0.456102E-02 0.608080E-02 0.566348E-02 0.709772E-02
           40 0.116042E-03 0.156523E-03 0.167606E-03 0.404316E-03 0.370913E-02 0.488887E-02 0.536301E-02 0.591500E-02
           45 0.124949E-03 0.168656E-03 0.181205E-03 0.376855E-03 0.318470E-02 0.430448E-02 0.510780E-02 0.529752E-02
           50 0.131144E-03 0.176975E-03 0.193722E-03 0.355120E-03 0.267175E-02 0.359566E-02 0.495571E-02 0.476722E-02
           55 0.135402E-03 0.182148E-03 0.205898E-03 0.340422E-03 0.239472E-02 0.335288E-02 0.538791E-02 0.495326E-02
           60 0.137906E-03 0.186196E-03 0.219723E-03 0.328197E-03 0.291682E-02 0.353076E-02 0.569061E-02 0.463887E-02
           65 0.139277E-03 0.187953E-03 0.232649E-03 0.320284E-03 0.336443E-02 0.409750E-02 0.583675E-02 0.424802E-02
           70 0.139441E-03 0.188061E-03 0.244194E-03 0.314618E-03 0.327470E-02 0.394054E-02 0.580572E-02 0.416669E-02
           75 0.138677E-03 0.186529E-03 0.253773E-03 0.309614E-03 0.279884E-02 0.326679E-02 0.560699E-02 0.469422E-02
           80 0.137636E-03 0.184493E-03 0.261710E-03 0.303583E-03 0.266587E-02 0.329425E-02 0.529101E-02 0.487679E-02
           85 0.136077E-03 0.181620E-03 0.267502E-03 0.297121E-03 0.267968E-02 0.330628E-02 0.493920E-02 0.468578E-02
           90 0.134371E-03 0.178602E-03 0.271830E-03 0.290480E-03 0.259920E-02 0.319474E-02 0.484059E-02 0.477842E-02
           95 0.132500E-03 0.175470E-03 0.274495E-03 0.283675E-03 0.245107E-02 0.299549E-02 0.469693E-02 0.471762E-02
          100 0.130633E-03 0.172381E-03 0.276842E-03 0.277179E-03 0.227742E-02 0.294166E-02 0.468220E-02 0.454009E-02
          105 0.128643E-03 0.168743E-03 0.278909E-03 0.272195E-03 0.224088E-02 0.296660E-02 0.469178E-02 0.433178E-02
          110 0.126655E-03 0.165067E-03 0.280354E-03 0.269071E-03 0.238904E-02 0.295149E-02 0.468953E-02 0.418132E-02
          115 0.124524E-03 0.161396E-03 0.281190E-03 0.267115E-03 0.238527E-02 0.290889E-02 0.464198E-02 0.413961E-02
          120 0.122614E-03 0.158068E-03 0.281749E-03 0.265118E-03 0.226707E-02 0.285752E-02 0.453105E-02 0.442400E-02
          125 0.120735E-03 0.154982E-03 0.281412E-03 0.262879E-03 0.214446E-02 0.281473E-02 0.436137E-02 0.452079E-02
          130 0.119050E-03 0.152037E-03 0.280543E-03 0.260416E-03 0.225366E-02 0.279136E-02 0.434664E-02 0.444107E-02
          135 0.117573E-03 0.149330E-03 0.278758E-03 0.258120E-03 0.234529E-02 0.291831E-02 0.426315E-02 0.450908E-02
          140 0.116302E-03 0.146895E-03 0.276716E-03 0.256184E-03 0.239758E-02 0.300005E-02 0.417765E-02 0.451887E-02
          145 0.115289E-03 0.144719E-03 0.274385E-03 0.255092E-03 0.240440E-02 0.302017E-02 0.416927E-02 0.445846E-02
          150 0.114454E-03 0.142788E-03 0.272026E-03 0.254527E-03 0.237493E-02 0.299068E-02 0.414688E-02 0.436752E-02
          155 0.113832E-03 0.141039E-03 0.269751E-03 0.254641E-03 0.232839E-02 0.293732E-02 0.411158E-02 0.429133E-02
          160 0.113254E-03 0.139594E-03 0.267345E-03 0.255449E-03 0.228611E-02 0.288895E-02 0.407058E-02 0.426954E-02
